equation,operand_1,operation,operand_2,answer
922-922=0,922,-,922,0
392+801=1193,392,+,801,1193
649-253=396,649,-,253,396
879-255=624,879,-,255,624
145+704=849,145,+,704,849
872-863=9,872,-,863,9
395+432=827,395,+,432,827
40+372=412,40,+,372,412
814+468=1282,814,+,468,1282
784+572=1356,784,+,572,1356
762+160=922,762,+,160,922
770-721=49,770,-,721,49
444+12=456,444,+,12,456
395-391=4,395,-,391,4
369+147=516,369,+,147,516
945+445=1390,945,+,445,1390
201+168=369,201,+,168,369
549-176=373,549,-,176,373
898+153=1051,898,+,153,1051
284-66=218,284,-,66,218
107-88=19,107,-,88,19
590-590=0,590,-,590,0
36+95=131,36,+,95,131
423-244=179,423,-,244,179
468+988=1456,468,+,988,1456
755-49=706,755,-,49,706
254+165=419,254,+,165,419
109-53=56,109,-,53,56
616+438=1054,616,+,438,1054
204+701=905,204,+,701,905
11-7=4,11,-,7,4
11+48=59,11,+,48,59
870+164=1034,870,+,164,1034
667+877=1544,667,+,877,1544
972+928=1900,972,+,928,1900
510+186=696,510,+,186,696
555-494=61,555,-,494,61
916-817=99,916,-,817,99
3+163=166,3,+,163,166
847-166=681,847,-,166,681
667-456=211,667,-,456,211
805+67=872,805,+,67,872
354-258=96,354,-,258,96
822-535=287,822,-,535,287
263-260=3,263,-,260,3
723-576=147,723,-,576,147
984-725=259,984,-,725,259
285+270=555,285,+,270,555
145+382=527,145,+,382,527
216+627=843,216,+,627,843
9+34=43,9,+,34,43
363-104=259,363,-,104,259
517+454=971,517,+,454,971
953+599=1552,953,+,599,1552
454-73=381,454,-,73,381
658+150=808,658,+,150,808
352-313=39,352,-,313,39
234-4=230,234,-,4,230
68+714=782,68,+,714,782
818-106=712,818,-,106,712
459+862=1321,459,+,862,1321
665-611=54,665,-,611,54
426+838=1264,426,+,838,1264
494+585=1079,494,+,585,1079
208-189=19,208,-,189,19
45+614=659,45,+,614,659
52+183=235,52,+,183,235
94+501=595,94,+,501,595
961+290=1251,961,+,290,1251
569-295=274,569,-,295,274
883+338=1221,883,+,338,1221
542+510=1052,542,+,510,1052
755+17=772,755,+,17,772
729-168=561,729,-,168,561
637-633=4,637,-,633,4
831-831=0,831,-,831,0
871+72=943,871,+,72,943
388+594=982,388,+,594,982
432-425=7,432,-,425,7
703-589=114,703,-,589,114
178-80=98,178,-,80,98
842-252=590,842,-,252,590
26-18=8,26,-,18,8
679+670=1349,679,+,670,1349
298+699=997,298,+,699,997
500+861=1361,500,+,861,1361
926-433=493,926,-,433,493
436-397=39,436,-,397,39
815+838=1653,815,+,838,1653
582+215=797,582,+,215,797
180-177=3,180,-,177,3
570+247=817,570,+,247,817
701+123=824,701,+,123,824
816-809=7,816,-,809,7
623+43=666,623,+,43,666
392-248=144,392,-,248,144
818+269=1087,818,+,269,1087
192+956=1148,192,+,956,1148
678-127=551,678,-,127,551
518+954=1472,518,+,954,1472
899-249=650,899,-,249,650
501-181=320,501,-,181,320
649+480=1129,649,+,480,1129
747-244=503,747,-,244,503
670+50=720,670,+,50,720
992+629=1621,992,+,629,1621
491+379=870,491,+,379,870
69+20=89,69,+,20,89
457+882=1339,457,+,882,1339
412-344=68,412,-,344,68
58-54=4,58,-,54,4
870+446=1316,870,+,446,1316
752-425=327,752,-,425,327
879-876=3,879,-,876,3
899+863=1762,899,+,863,1762
241+6=247,241,+,6,247
920+307=1227,920,+,307,1227
971-966=5,971,-,966,5
814-67=747,814,-,67,747
711-375=336,711,-,375,336
770+540=1310,770,+,540,1310
832-163=669,832,-,163,669
389-316=73,389,-,316,73
147-67=80,147,-,67,80
403-231=172,403,-,231,172
670-614=56,670,-,614,56
142+836=978,142,+,836,978
830-593=237,830,-,593,237
689-506=183,689,-,506,183
748-738=10,748,-,738,10
619+167=786,619,+,167,786
936+870=1806,936,+,870,1806
901-320=581,901,-,320,581
542-138=404,542,-,138,404
644+274=918,644,+,274,918
688-623=65,688,-,623,65
344-15=329,344,-,15,329
17+428=445,17,+,428,445
763-159=604,763,-,159,604
279-270=9,279,-,270,9
621-456=165,621,-,456,165
483+913=1396,483,+,913,1396
348+764=1112,348,+,764,1112
882-417=465,882,-,417,465
390+870=1260,390,+,870,1260
1+81=82,1,+,81,82
881+890=1771,881,+,890,1771
232-199=33,232,-,199,33
44-26=18,44,-,26,18
225+633=858,225,+,633,858
843+573=1416,843,+,573,1416
803-391=412,803,-,391,412
803-680=123,803,-,680,123
665+32=697,665,+,32,697
917+884=1801,917,+,884,1801
924+667=1591,924,+,667,1591
660-431=229,660,-,431,229
20+88=108,20,+,88,108
255+383=638,255,+,383,638
885+138=1023,885,+,138,1023
860+545=1405,860,+,545,1405
258-251=7,258,-,251,7
409-333=76,409,-,333,76
339+756=1095,339,+,756,1095
737-737=0,737,-,737,0
474-264=210,474,-,264,210
227+715=942,227,+,715,942
651-270=381,651,-,270,381
781+414=1195,781,+,414,1195
290+599=889,290,+,599,889
1+97=98,1,+,97,98
822+207=1029,822,+,207,1029
398-317=81,398,-,317,81
34+15=49,34,+,15,49
892-890=2,892,-,890,2
998-27=971,998,-,27,971
737-410=327,737,-,410,327
214-150=64,214,-,150,64
72+962=1034,72,+,962,1034
637+682=1319,637,+,682,1319
441-336=105,441,-,336,105
994-105=889,994,-,105,889
142-56=86,142,-,56,86
198+117=315,198,+,117,315
709+213=922,709,+,213,922
657-190=467,657,-,190,467
430+807=1237,430,+,807,1237
680-30=650,680,-,30,650
882+869=1751,882,+,869,1751
855-16=839,855,-,16,839
440+553=993,440,+,553,993
294+471=765,294,+,471,765
777-123=654,777,-,123,654
961-910=51,961,-,910,51
395+157=552,395,+,157,552
114+365=479,114,+,365,479
853-598=255,853,-,598,255
349+370=719,349,+,370,719
814-495=319,814,-,495,319
869+433=1302,869,+,433,1302
208-97=111,208,-,97,111
808-751=57,808,-,751,57
603+36=639,603,+,36,639
143-79=64,143,-,79,64
534-363=171,534,-,363,171
619-116=503,619,-,116,503
376+360=736,376,+,360,736
863-208=655,863,-,208,655
974-630=344,974,-,630,344
372+792=1164,372,+,792,1164
603+571=1174,603,+,571,1174
832-566=266,832,-,566,266
914-471=443,914,-,471,443
589-31=558,589,-,31,558
231+190=421,231,+,190,421
267+723=990,267,+,723,990
912+308=1220,912,+,308,1220
210-208=2,210,-,208,2
963-31=932,963,-,31,932
27+70=97,27,+,70,97
497-104=393,497,-,104,393
37+917=954,37,+,917,954
838-798=40,838,-,798,40
57+454=511,57,+,454,511
942-143=799,942,-,143,799
976-856=120,976,-,856,120
909-178=731,909,-,178,731
246-239=7,246,-,239,7
43+762=805,43,+,762,805
8+942=950,8,+,942,950
906-877=29,906,-,877,29
907-432=475,907,-,432,475
939+600=1539,939,+,600,1539
931+983=1914,931,+,983,1914
65+6=71,65,+,6,71
242-235=7,242,-,235,7
336-332=4,336,-,332,4
835+461=1296,835,+,461,1296
809-377=432,809,-,377,432
11+66=77,11,+,66,77
710+66=776,710,+,66,776
100+969=1069,100,+,969,1069
264+581=845,264,+,581,845
507+551=1058,507,+,551,1058
997+70=1067,997,+,70,1067
628-464=164,628,-,464,164
841-580=261,841,-,580,261
220+632=852,220,+,632,852
39+378=417,39,+,378,417
860+385=1245,860,+,385,1245
914-491=423,914,-,491,423
253-179=74,253,-,179,74
867-298=569,867,-,298,569
18+56=74,18,+,56,74
777-753=24,777,-,753,24
778+441=1219,778,+,441,1219
42+241=283,42,+,241,283
751-339=412,751,-,339,412
615-76=539,615,-,76,539
424-325=99,424,-,325,99
272-243=29,272,-,243,29
674+981=1655,674,+,981,1655
418-404=14,418,-,404,14
732-512=220,732,-,512,220
215-53=162,215,-,53,162
650+875=1525,650,+,875,1525
450+199=649,450,+,199,649
583-471=112,583,-,471,112
992-573=419,992,-,573,419
496-433=63,496,-,433,63
868-73=795,868,-,73,795
617-343=274,617,-,343,274
546-382=164,546,-,382,164
640+661=1301,640,+,661,1301
768+21=789,768,+,21,789
407-242=165,407,-,242,165
865+273=1138,865,+,273,1138
547+436=983,547,+,436,983
425-400=25,425,-,400,25
899-418=481,899,-,418,481
390+826=1216,390,+,826,1216
845-262=583,845,-,262,583
874-854=20,874,-,854,20
369+397=766,369,+,397,766
853-787=66,853,-,787,66
435-402=33,435,-,402,33
659-312=347,659,-,312,347
715+267=982,715,+,267,982
474+762=1236,474,+,762,1236
813-787=26,813,-,787,26
342-304=38,342,-,304,38
245+789=1034,245,+,789,1034
51+989=1040,51,+,989,1040
604-333=271,604,-,333,271
651-649=2,651,-,649,2
44+21=65,44,+,21,65
785-780=5,785,-,780,5
519-16=503,519,-,16,503
226+868=1094,226,+,868,1094
691-655=36,691,-,655,36
587+3=590,587,+,3,590
255+694=949,255,+,694,949
222+428=650,222,+,428,650
612+557=1169,612,+,557,1169
444+776=1220,444,+,776,1220
599+212=811,599,+,212,811
108-72=36,108,-,72,36
969-951=18,969,-,951,18
152+872=1024,152,+,872,1024
345+243=588,345,+,243,588
484-329=155,484,-,329,155
503-460=43,503,-,460,43
64+91=155,64,+,91,155
425+108=533,425,+,108,533
853-406=447,853,-,406,447
991-909=82,991,-,909,82
379+306=685,379,+,306,685
0+32=32,0,+,32,32
828-776=52,828,-,776,52
55+432=487,55,+,432,487
378+188=566,378,+,188,566
203+95=298,203,+,95,298
597+679=1276,597,+,679,1276
992+351=1343,992,+,351,1343
313-309=4,313,-,309,4
867+706=1573,867,+,706,1573
685-511=174,685,-,511,174
918-515=403,918,-,515,403
145+163=308,145,+,163,308
390-332=58,390,-,332,58
478+478=956,478,+,478,956
968-328=640,968,-,328,640
777+734=1511,777,+,734,1511
575-79=496,575,-,79,496
818-150=668,818,-,150,668
711-226=485,711,-,226,485
684+493=1177,684,+,493,1177
113+712=825,113,+,712,825
645+394=1039,645,+,394,1039
618+299=917,618,+,299,917
139+352=491,139,+,352,491
608-295=313,608,-,295,313
943+908=1851,943,+,908,1851
303-116=187,303,-,116,187
290-288=2,290,-,288,2
161+216=377,161,+,216,377
405+301=706,405,+,301,706
265+40=305,265,+,40,305
503-500=3,503,-,500,3
131+436=567,131,+,436,567
335+354=689,335,+,354,689
508+928=1436,508,+,928,1436
359-319=40,359,-,319,40
263+930=1193,263,+,930,1193
570-475=95,570,-,475,95
943-349=594,943,-,349,594
615+388=1003,615,+,388,1003
747-699=48,747,-,699,48
522+690=1212,522,+,690,1212
803-582=221,803,-,582,221
783-545=238,783,-,545,238
382+633=1015,382,+,633,1015
998-649=349,998,-,649,349
856-501=355,856,-,501,355
62+32=94,62,+,32,94
810+589=1399,810,+,589,1399
19-14=5,19,-,14,5
268+688=956,268,+,688,956
32+37=69,32,+,37,69
764+455=1219,764,+,455,1219
991-967=24,991,-,967,24
15+78=93,15,+,78,93
902+712=1614,902,+,712,1614
868-652=216,868,-,652,216
434-202=232,434,-,202,232
497+753=1250,497,+,753,1250
885+444=1329,885,+,444,1329
830-153=677,830,-,153,677
761-731=30,761,-,731,30
174-15=159,174,-,15,159
337+318=655,337,+,318,655
631-547=84,631,-,547,84
390-380=10,390,-,380,10
488+475=963,488,+,475,963
512-2=510,512,-,2,510
157+323=480,157,+,323,480
598-306=292,598,-,306,292
244+735=979,244,+,735,979
932+392=1324,932,+,392,1324
208+507=715,208,+,507,715
471-388=83,471,-,388,83
221-40=181,221,-,40,181
2+95=97,2,+,95,97
775-709=66,775,-,709,66
842-798=44,842,-,798,44
826+888=1714,826,+,888,1714
211+971=1182,211,+,971,1182
145+909=1054,145,+,909,1054
953-559=394,953,-,559,394
11+62=73,11,+,62,73
727+963=1690,727,+,963,1690
757-90=667,757,-,90,667
738-738=0,738,-,738,0
973-121=852,973,-,121,852
777-182=595,777,-,182,595
185+24=209,185,+,24,209
15+16=31,15,+,16,31
26-26=0,26,-,26,0
972+978=1950,972,+,978,1950
689-680=9,689,-,680,9
400-400=0,400,-,400,0
250-157=93,250,-,157,93
10-10=0,10,-,10,0
80+16=96,80,+,16,96
802+949=1751,802,+,949,1751
427+157=584,427,+,157,584
352+448=800,352,+,448,800
687+394=1081,687,+,394,1081
627-297=330,627,-,297,330
41+821=862,41,+,821,862
560-330=230,560,-,330,230
545-495=50,545,-,495,50
746+734=1480,746,+,734,1480
760+456=1216,760,+,456,1216
933+300=1233,933,+,300,1233
643-308=335,643,-,308,335
52+6=58,52,+,6,58
900-196=704,900,-,196,704
969-688=281,969,-,688,281
380-373=7,380,-,373,7
527-14=513,527,-,14,513
150-22=128,150,-,22,128
678-214=464,678,-,214,464
40+253=293,40,+,253,293
11+8=19,11,+,8,19
793-695=98,793,-,695,98
504+955=1459,504,+,955,1459
984-444=540,984,-,444,540
823-647=176,823,-,647,176
433+528=961,433,+,528,961
147+150=297,147,+,150,297
704+194=898,704,+,194,898
648-558=90,648,-,558,90
919-356=563,919,-,356,563
397-350=47,397,-,350,47
791+823=1614,791,+,823,1614
195-138=57,195,-,138,57
613-3=610,613,-,3,610
801-121=680,801,-,121,680
604-520=84,604,-,520,84
995+675=1670,995,+,675,1670
832-764=68,832,-,764,68
501+744=1245,501,+,744,1245
747-262=485,747,-,262,485
563+877=1440,563,+,877,1440
546+243=789,546,+,243,789
944+165=1109,944,+,165,1109
363-360=3,363,-,360,3
829-825=4,829,-,825,4
482-143=339,482,-,143,339
514+510=1024,514,+,510,1024
910+59=969,910,+,59,969
993-350=643,993,-,350,643
652-647=5,652,-,647,5
451-254=197,451,-,254,197
219+294=513,219,+,294,513
782+424=1206,782,+,424,1206
107+330=437,107,+,330,437
477+993=1470,477,+,993,1470
630+360=990,630,+,360,990
312-163=149,312,-,163,149
39+2=41,39,+,2,41
761+594=1355,761,+,594,1355
694-243=451,694,-,243,451
284-169=115,284,-,169,115
138+306=444,138,+,306,444
964-293=671,964,-,293,671
821-129=692,821,-,129,692
821-547=274,821,-,547,274
843+430=1273,843,+,430,1273
359-326=33,359,-,326,33
35+207=242,35,+,207,242
328-308=20,328,-,308,20
723-578=145,723,-,578,145
728-560=168,728,-,560,168
99-21=78,99,-,21,78
537-528=9,537,-,528,9
906-69=837,906,-,69,837
209-128=81,209,-,128,81
779+978=1757,779,+,978,1757
682-514=168,682,-,514,168
287-225=62,287,-,225,62
804+126=930,804,+,126,930
696-93=603,696,-,93,603
594+219=813,594,+,219,813
880+596=1476,880,+,596,1476
522+526=1048,522,+,526,1048
538+936=1474,538,+,936,1474
724+976=1700,724,+,976,1700
982+614=1596,982,+,614,1596
30+872=902,30,+,872,902
973+616=1589,973,+,616,1589
941-700=241,941,-,700,241
809+780=1589,809,+,780,1589
93-93=0,93,-,93,0
368-363=5,368,-,363,5
768-678=90,768,-,678,90
19+522=541,19,+,522,541
980-549=431,980,-,549,431
902-107=795,902,-,107,795
308+822=1130,308,+,822,1130
638-493=145,638,-,493,145
8+87=95,8,+,87,95
267+619=886,267,+,619,886
4+702=706,4,+,702,706
853+107=960,853,+,107,960
847-764=83,847,-,764,83
435+151=586,435,+,151,586
748-745=3,748,-,745,3
423+153=576,423,+,153,576
732-0=732,732,-,0,732
730-108=622,730,-,108,622
911-876=35,911,-,876,35
757-619=138,757,-,619,138
35+920=955,35,+,920,955
24+702=726,24,+,702,726
593+551=1144,593,+,551,1144
35+291=326,35,+,291,326
923-355=568,923,-,355,568
302+383=685,302,+,383,685
879+862=1741,879,+,862,1741
481-21=460,481,-,21,460
339+921=1260,339,+,921,1260
132+719=851,132,+,719,851
852-734=118,852,-,734,118
781+366=1147,781,+,366,1147
744-692=52,744,-,692,52
904-213=691,904,-,213,691
252+88=340,252,+,88,340
680-334=346,680,-,334,346
904-263=641,904,-,263,641
298+597=895,298,+,597,895
945-256=689,945,-,256,689
674-221=453,674,-,221,453
971-963=8,971,-,963,8
161+370=531,161,+,370,531
441-354=87,441,-,354,87
147-140=7,147,-,140,7
644-596=48,644,-,596,48
890-211=679,890,-,211,679
908-145=763,908,-,145,763
120+741=861,120,+,741,861
513-183=330,513,-,183,330
427+750=1177,427,+,750,1177
790+706=1496,790,+,706,1496
166-111=55,166,-,111,55
980-207=773,980,-,207,773
823-513=310,823,-,513,310
541+473=1014,541,+,473,1014
588+256=844,588,+,256,844
922+409=1331,922,+,409,1331
70+13=83,70,+,13,83
995+383=1378,995,+,383,1378
625-616=9,625,-,616,9
998-955=43,998,-,955,43
167+0=167,167,+,0,167
595+442=1037,595,+,442,1037
506-172=334,506,-,172,334
277+701=978,277,+,701,978
309+280=589,309,+,280,589
121-120=1,121,-,120,1
259-204=55,259,-,204,55
674-340=334,674,-,340,334
831+457=1288,831,+,457,1288
240+214=454,240,+,214,454
493-400=93,493,-,400,93
232+433=665,232,+,433,665
463-455=8,463,-,455,8
116+679=795,116,+,679,795
177+374=551,177,+,374,551
757-545=212,757,-,545,212
682-596=86,682,-,596,86
691+513=1204,691,+,513,1204
139+284=423,139,+,284,423
907-446=461,907,-,446,461
809-610=199,809,-,610,199
510-305=205,510,-,305,205
681+98=779,681,+,98,779
500-470=30,500,-,470,30
994-555=439,994,-,555,439
734-450=284,734,-,450,284
343-140=203,343,-,140,203
347+393=740,347,+,393,740
934+570=1504,934,+,570,1504
223+104=327,223,+,104,327
429+493=922,429,+,493,922
747+42=789,747,+,42,789
829-552=277,829,-,552,277
872-447=425,872,-,447,425
952+808=1760,952,+,808,1760
366+30=396,366,+,30,396
270-20=250,270,-,20,250
8+48=56,8,+,48,56
707+985=1692,707,+,985,1692
683-682=1,683,-,682,1
804+176=980,804,+,176,980
454+51=505,454,+,51,505
837+182=1019,837,+,182,1019
960+842=1802,960,+,842,1802
309+911=1220,309,+,911,1220
214-158=56,214,-,158,56
649-15=634,649,-,15,634
252+684=936,252,+,684,936
632-198=434,632,-,198,434
572-207=365,572,-,207,365
876-472=404,876,-,472,404
3+56=59,3,+,56,59
604-116=488,604,-,116,488
592+490=1082,592,+,490,1082
928+939=1867,928,+,939,1867
539-313=226,539,-,313,226
832-319=513,832,-,319,513
976-109=867,976,-,109,867
817+576=1393,817,+,576,1393
855-476=379,855,-,476,379
4+491=495,4,+,491,495
151+205=356,151,+,205,356
396+382=778,396,+,382,778
406-399=7,406,-,399,7
758+902=1660,758,+,902,1660
788+343=1131,788,+,343,1131
806+434=1240,806,+,434,1240
576-51=525,576,-,51,525
577-570=7,577,-,570,7
929-491=438,929,-,491,438
179-171=8,179,-,171,8
439-439=0,439,-,439,0
664-398=266,664,-,398,266
327+359=686,327,+,359,686
417-268=149,417,-,268,149
143-57=86,143,-,57,86
961+173=1134,961,+,173,1134
360+888=1248,360,+,888,1248
563-262=301,563,-,262,301
847-42=805,847,-,42,805
828-446=382,828,-,446,382
186-133=53,186,-,133,53
70+21=91,70,+,21,91
82+91=173,82,+,91,173
891+616=1507,891,+,616,1507
960+914=1874,960,+,914,1874
967+775=1742,967,+,775,1742
753-657=96,753,-,657,96
113+470=583,113,+,470,583
797-767=30,797,-,767,30
398+880=1278,398,+,880,1278
824-815=9,824,-,815,9
424-332=92,424,-,332,92
969-742=227,969,-,742,227
372+865=1237,372,+,865,1237
733-669=64,733,-,669,64
263-203=60,263,-,203,60
896-193=703,896,-,193,703
630+419=1049,630,+,419,1049
443-354=89,443,-,354,89
455-333=122,455,-,333,122
665-588=77,665,-,588,77
190-89=101,190,-,89,101
438-418=20,438,-,418,20
260-187=73,260,-,187,73
306-297=9,306,-,297,9
175-5=170,175,-,5,170
162+21=183,162,+,21,183
13+847=860,13,+,847,860
774+255=1029,774,+,255,1029
826+144=970,826,+,144,970
576-402=174,576,-,402,174
4+993=997,4,+,993,997
51+16=67,51,+,16,67
930-731=199,930,-,731,199
950-195=755,950,-,195,755
870-479=391,870,-,479,391
754-425=329,754,-,425,329
27+661=688,27,+,661,688
273+619=892,273,+,619,892
354+742=1096,354,+,742,1096
484-162=322,484,-,162,322
251+465=716,251,+,465,716
455-366=89,455,-,366,89
370-321=49,370,-,321,49
129+1=130,129,+,1,130
573+777=1350,573,+,777,1350
851-792=59,851,-,792,59
481+423=904,481,+,423,904
54+27=81,54,+,27,81
572-357=215,572,-,357,215
270+881=1151,270,+,881,1151
826+416=1242,826,+,416,1242
974-292=682,974,-,292,682
101-53=48,101,-,53,48
844+785=1629,844,+,785,1629
945-560=385,945,-,560,385
369-145=224,369,-,145,224
274-139=135,274,-,139,135
121-113=8,121,-,113,8
370-220=150,370,-,220,150
201+456=657,201,+,456,657
219+520=739,219,+,520,739
210+537=747,210,+,537,747
794-82=712,794,-,82,712
646-205=441,646,-,205,441
34+971=1005,34,+,971,1005
215+754=969,215,+,754,969
925-239=686,925,-,239,686
974+506=1480,974,+,506,1480
229+738=967,229,+,738,967
708-270=438,708,-,270,438
25+22=47,25,+,22,47
48+465=513,48,+,465,513
753-594=159,753,-,594,159
994+539=1533,994,+,539,1533
850-11=839,850,-,11,839
847-212=635,847,-,212,635
102+371=473,102,+,371,473
498+608=1106,498,+,608,1106
930-926=4,930,-,926,4
14+597=611,14,+,597,611
254+310=564,254,+,310,564
777-472=305,777,-,472,305
594-95=499,594,-,95,499
963-962=1,963,-,962,1
868-755=113,868,-,755,113
482-161=321,482,-,161,321
405+254=659,405,+,254,659
718-571=147,718,-,571,147
53+41=94,53,+,41,94
711-256=455,711,-,256,455
680+507=1187,680,+,507,1187
216-139=77,216,-,139,77
866+867=1733,866,+,867,1733
894+303=1197,894,+,303,1197
136-131=5,136,-,131,5
231+851=1082,231,+,851,1082
266-169=97,266,-,169,97
934+174=1108,934,+,174,1108
687-628=59,687,-,628,59
630-423=207,630,-,423,207
500-438=62,500,-,438,62
45+43=88,45,+,43,88
721-557=164,721,-,557,164
142+855=997,142,+,855,997
231+615=846,231,+,615,846
30+38=68,30,+,38,68
870+316=1186,870,+,316,1186
498-493=5,498,-,493,5
873+592=1465,873,+,592,1465
749-465=284,749,-,465,284
109+128=237,109,+,128,237
550+633=1183,550,+,633,1183
76+98=174,76,+,98,174
931-770=161,931,-,770,161
275-162=113,275,-,162,113
175+207=382,175,+,207,382
601-28=573,601,-,28,573
924-903=21,924,-,903,21
847+569=1416,847,+,569,1416
372-314=58,372,-,314,58
830+799=1629,830,+,799,1629
797+819=1616,797,+,819,1616
32+17=49,32,+,17,49
354-302=52,354,-,302,52
656-626=30,656,-,626,30
489+656=1145,489,+,656,1145
916+903=1819,916,+,903,1819
32-29=3,32,-,29,3
987+897=1884,987,+,897,1884
25+46=71,25,+,46,71
985-220=765,985,-,220,765
564+940=1504,564,+,940,1504
872+158=1030,872,+,158,1030
590+48=638,590,+,48,638
658+961=1619,658,+,961,1619
582-103=479,582,-,103,479
673+299=972,673,+,299,972
478+346=824,478,+,346,824
161+622=783,161,+,622,783
176+279=455,176,+,279,455
747+313=1060,747,+,313,1060
981-870=111,981,-,870,111
747-90=657,747,-,90,657
7+89=96,7,+,89,96
501-365=136,501,-,365,136
320-279=41,320,-,279,41
290+710=1000,290,+,710,1000
233+722=955,233,+,722,955
815-759=56,815,-,759,56
797+678=1475,797,+,678,1475
498+786=1284,498,+,786,1284
344+880=1224,344,+,880,1224
859-759=100,859,-,759,100
977+437=1414,977,+,437,1414
395-361=34,395,-,361,34
452+3=455,452,+,3,455
859-359=500,859,-,359,500
216+228=444,216,+,228,444
151+385=536,151,+,385,536
632+612=1244,632,+,612,1244
53+20=73,53,+,20,73
560-32=528,560,-,32,528
39+28=67,39,+,28,67
883-615=268,883,-,615,268
47+531=578,47,+,531,578
701+744=1445,701,+,744,1445
770+852=1622,770,+,852,1622
951-307=644,951,-,307,644
779+867=1646,779,+,867,1646
219-99=120,219,-,99,120
398-339=59,398,-,339,59
362-336=26,362,-,336,26
980-233=747,980,-,233,747
887-880=7,887,-,880,7
761+891=1652,761,+,891,1652
401-392=9,401,-,392,9
539-255=284,539,-,255,284
617-49=568,617,-,49,568
583-547=36,583,-,547,36
850-311=539,850,-,311,539
952-458=494,952,-,458,494
831-452=379,831,-,452,379
37+192=229,37,+,192,229
21+129=150,21,+,129,150
969-702=267,969,-,702,267
286+532=818,286,+,532,818
562+851=1413,562,+,851,1413
276+954=1230,276,+,954,1230
775+745=1520,775,+,745,1520
940+258=1198,940,+,258,1198
880+666=1546,880,+,666,1546
602+22=624,602,+,22,624
407-339=68,407,-,339,68
68+296=364,68,+,296,364
90-59=31,90,-,59,31
825-434=391,825,-,434,391
409+582=991,409,+,582,991
874+974=1848,874,+,974,1848
496+621=1117,496,+,621,1117
554+404=958,554,+,404,958
634-617=17,634,-,617,17
252-102=150,252,-,102,150
871-202=669,871,-,202,669
60+943=1003,60,+,943,1003
830-670=160,830,-,670,160
542+660=1202,542,+,660,1202
726+555=1281,726,+,555,1281
677-365=312,677,-,365,312
284-70=214,284,-,70,214
97+472=569,97,+,472,569
940+974=1914,940,+,974,1914
331+623=954,331,+,623,954
909-592=317,909,-,592,317
32+511=543,32,+,511,543
145+926=1071,145,+,926,1071
166+59=225,166,+,59,225
701+115=816,701,+,115,816
987+704=1691,987,+,704,1691
818-559=259,818,-,559,259
239-14=225,239,-,14,225
846+312=1158,846,+,312,1158
811+432=1243,811,+,432,1243
755-163=592,755,-,163,592
892+611=1503,892,+,611,1503
40+4=44,40,+,4,44
397+529=926,397,+,529,926
828-826=2,828,-,826,2
794+250=1044,794,+,250,1044
133+188=321,133,+,188,321
37+20=57,37,+,20,57
370+15=385,370,+,15,385
836-691=145,836,-,691,145
210+317=527,210,+,317,527
800+508=1308,800,+,508,1308
824+485=1309,824,+,485,1309
618-593=25,618,-,593,25
982+576=1558,982,+,576,1558
796-742=54,796,-,742,54
971-339=632,971,-,339,632
652-549=103,652,-,549,103
778-734=44,778,-,734,44
281-278=3,281,-,278,3
448+669=1117,448,+,669,1117
492+696=1188,492,+,696,1188
917-743=174,917,-,743,174
678-486=192,678,-,486,192
450+959=1409,450,+,959,1409
604+897=1501,604,+,897,1501
433-121=312,433,-,121,312
48+23=71,48,+,23,71
477+797=1274,477,+,797,1274
478+274=752,478,+,274,752
411+98=509,411,+,98,509
87+21=108,87,+,21,108
653-425=228,653,-,425,228
1+827=828,1,+,827,828
85-84=1,85,-,84,1
332+15=347,332,+,15,347
543-459=84,543,-,459,84
609-270=339,609,-,270,339
849-157=692,849,-,157,692
970-882=88,970,-,882,88
599-126=473,599,-,126,473
83-38=45,83,-,38,45
738-220=518,738,-,220,518
661+343=1004,661,+,343,1004
311-232=79,311,-,232,79
405+313=718,405,+,313,718
778-755=23,778,-,755,23
543+961=1504,543,+,961,1504
305-286=19,305,-,286,19
599-368=231,599,-,368,231
987-43=944,987,-,43,944
818-653=165,818,-,653,165
563+962=1525,563,+,962,1525
689+347=1036,689,+,347,1036
648-504=144,648,-,504,144
918-66=852,918,-,66,852
168+489=657,168,+,489,657
266+390=656,266,+,390,656
137+915=1052,137,+,915,1052
740-90=650,740,-,90,650
493-487=6,493,-,487,6
585-120=465,585,-,120,465
695-16=679,695,-,16,679
973-259=714,973,-,259,714
259-190=69,259,-,190,69
977+269=1246,977,+,269,1246
430-428=2,430,-,428,2
254+202=456,254,+,202,456
854+984=1838,854,+,984,1838
916-562=354,916,-,562,354
569-305=264,569,-,305,264
876-788=88,876,-,788,88
752+77=829,752,+,77,829
698+784=1482,698,+,784,1482
483-293=190,483,-,293,190
644+644=1288,644,+,644,1288
579-68=511,579,-,68,511
462+345=807,462,+,345,807
642-560=82,642,-,560,82
859-421=438,859,-,421,438
416-63=353,416,-,63,353
861-235=626,861,-,235,626
18+44=62,18,+,44,62
741-677=64,741,-,677,64
69-51=18,69,-,51,18
490-323=167,490,-,323,167
516-322=194,516,-,322,194
523+96=619,523,+,96,619
140+44=184,140,+,44,184
205-178=27,205,-,178,27
534-504=30,534,-,504,30
239-234=5,239,-,234,5
664-411=253,664,-,411,253
181+302=483,181,+,302,483
390+296=686,390,+,296,686
468+396=864,468,+,396,864
728-711=17,728,-,711,17
